filename  status  image
001.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f1/full/full/0/default.jpg
002.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f2/full/full/0/default.jpg
003.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f3/full/full/0/default.jpg
004.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f4/full/full/0/default.jpg
005.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f5/full/full/0/default.jpg
006.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f6/full/full/0/default.jpg
007.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f7/full/full/0/default.jpg
008.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f8/full/full/0/default.jpg
009.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f9/full/full/0/default.jpg
010.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f10/full/full/0/default.jpg
011.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f11/full/full/0/default.jpg
012.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f12/full/full/0/default.jpg
013.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f13/full/full/0/default.jpg
014.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f14/full/full/0/default.jpg
015.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f15/full/full/0/default.jpg
016.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f16/full/full/0/default.jpg
017.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f17/full/full/0/default.jpg
018.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f18/full/full/0/default.jpg
019.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f19/full/full/0/default.jpg
020.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f20/full/full/0/default.jpg
021.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f21/full/full/0/default.jpg
022.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f22/full/full/0/default.jpg
023.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f23/full/full/0/default.jpg
024.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f24/full/full/0/default.jpg
025.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f25/full/full/0/default.jpg
026.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f26/full/full/0/default.jpg
027.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f27/full/full/0/default.jpg
028.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f28/full/full/0/default.jpg
029.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f29/full/full/0/default.jpg
030.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/f30/full/full/0/default.jpg
