filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014828b/canvas/f12
