filename,status,image
001.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f1/full/full/0/default.jpg
002.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f2/full/full/0/default.jpg
003.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f3/full/full/0/default.jpg
004.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f4/full/full/0/default.jpg
005.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f5/full/full/0/default.jpg
006.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f6/full/full/0/default.jpg
007.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f7/full/full/0/default.jpg
008.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f8/full/full/0/default.jpg
009.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f9/full/full/0/default.jpg
010.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f10/full/full/0/default.jpg
011.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f11/full/full/0/default.jpg
012.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f12/full/full/0/default.jpg
013.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f13/full/full/0/default.jpg
014.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f14/full/full/0/default.jpg
015.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f15/full/full/0/default.jpg
016.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f16/full/full/0/default.jpg
017.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f17/full/full/0/default.jpg
018.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f18/full/full/0/default.jpg
019.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f19/full/full/0/default.jpg
020.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f20/full/full/0/default.jpg
021.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f21/full/full/0/default.jpg
022.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f22/full/full/0/default.jpg
023.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f23/full/full/0/default.jpg
024.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f24/full/full/0/default.jpg
025.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f25/full/full/0/default.jpg
026.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f26/full/full/0/default.jpg
027.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f27/full/full/0/default.jpg
028.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f28/full/full/0/default.jpg
029.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f29/full/full/0/default.jpg
030.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f30/full/full/0/default.jpg
031.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f31/full/full/0/default.jpg
032.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f32/full/full/0/default.jpg
033.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f33/full/full/0/default.jpg
034.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f34/full/full/0/default.jpg
035.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f35/full/full/0/default.jpg
036.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f36/full/full/0/default.jpg
037.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f37/full/full/0/default.jpg
038.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f38/full/full/0/default.jpg
039.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f39/full/full/0/default.jpg
040.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f40/full/full/0/default.jpg
041.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f41/full/full/0/default.jpg
042.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f42/full/full/0/default.jpg
043.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f43/full/full/0/default.jpg
044.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f44/full/full/0/default.jpg
045.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f45/full/full/0/default.jpg
046.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f46/full/full/0/default.jpg
047.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f47/full/full/0/default.jpg
048.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f48/full/full/0/default.jpg
049.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f49/full/full/0/default.jpg
050.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f50/full/full/0/default.jpg
051.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f51/full/full/0/default.jpg
052.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f52/full/full/0/default.jpg
053.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f53/full/full/0/default.jpg
054.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f54/full/full/0/default.jpg
055.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f55/full/full/0/default.jpg
056.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f56/full/full/0/default.jpg
057.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f57/full/full/0/default.jpg
058.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f58/full/full/0/default.jpg
059.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f59/full/full/0/default.jpg
060.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f60/full/full/0/default.jpg
061.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f61/full/full/0/default.jpg
062.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f62/full/full/0/default.jpg
063.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f63/full/full/0/default.jpg
064.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f64/full/full/0/default.jpg
065.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f65/full/full/0/default.jpg
066.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f66/full/full/0/default.jpg
067.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f67/full/full/0/default.jpg
068.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f68/full/full/0/default.jpg
069.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f69/full/full/0/default.jpg
070.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f70/full/full/0/default.jpg
071.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f71/full/full/0/default.jpg
072.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f72/full/full/0/default.jpg
073.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f73/full/full/0/default.jpg
074.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f74/full/full/0/default.jpg
075.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f75/full/full/0/default.jpg
076.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f76/full/full/0/default.jpg
077.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f77/full/full/0/default.jpg
078.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f78/full/full/0/default.jpg
079.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b60002827/f79/full/full/0/default.jpg
