filename	status	image	canvasId
001.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-01.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page1
002.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-02.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page2
003.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-03.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page3
004.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-04.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page4
005.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-05.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page5
006.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-06.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page6
007.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-07.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page7
008.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-08.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page8
009.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-09.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page9
010.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-10.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page10
011.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-11.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page11
012.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-12.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page12
013.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-13.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page13
014.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-14.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page14
015.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-15.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page15
016.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-16.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page16
017.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-17.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page17
018.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-18.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page18
019.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-19.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page19
020.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550016-20.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550016/page20
