filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00001.tif/full/full/0/default.jpg
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00002.tif/full/full/0/default.jpg
003.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00003.tif/full/full/0/default.jpg
004.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00004.tif/full/full/0/default.jpg
005.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00005.tif/full/full/0/default.jpg
006.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00006.tif/full/full/0/default.jpg
007.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00007.tif/full/full/0/default.jpg
008.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00008.tif/full/full/0/default.jpg
009.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00009.tif/full/full/0/default.jpg
010.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00010.tif/full/full/0/default.jpg
011.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00011.tif/full/full/0/default.jpg
012.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00012.tif/full/full/0/default.jpg
013.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00013.tif/full/full/0/default.jpg
014.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00014.tif/full/full/0/default.jpg
015.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00015.tif/full/full/0/default.jpg
016.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00016.tif/full/full/0/default.jpg
017.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00017.tif/full/full/0/default.jpg
018.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00018.tif/full/full/0/default.jpg
019.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00019.tif/full/full/0/default.jpg
020.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00020.tif/full/full/0/default.jpg
021.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100307637/v4/SECL/SECL-27870/SECL-27870-00021.tif/full/full/0/default.jpg
