filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110444/canvas/f16
