filename	status	image	canvasId
001.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00000.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00000
002.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00001.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00001
003.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00002.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00002
004.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00003.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00003
005.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00004.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00004
006.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00005.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00005
007.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00006.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00006
008.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00007.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00007
009.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00008.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00008
010.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FTKGK-00056%2FTKGK-00056-00009.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/TKGK-00056/pageTKGK-00056-00009
