filename	status	image
001.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f1/full/full/0/default.jpg
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f2/full/full/0/default.jpg
003.txt	initiated	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f3/full/full/0/default.jpg
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f4/full/full/0/default.jpg
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f5/full/full/0/default.jpg
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f6/full/full/0/default.jpg
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f7/full/full/0/default.jpg
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f8/full/full/0/default.jpg
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f9/full/full/0/default.jpg
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f10/full/full/0/default.jpg
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f11/full/full/0/default.jpg
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f12/full/full/0/default.jpg
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f13/full/full/0/default.jpg
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f14/full/full/0/default.jpg
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f15/full/full/0/default.jpg
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f16/full/full/0/default.jpg
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f17/full/full/0/default.jpg
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f18/full/full/0/default.jpg
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511108n/f19/full/full/0/default.jpg
