filename	status	image	canvasId
001.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/1
002.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/2
003.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/3
004.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/4
005.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/5
006.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/6
007.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/7
008.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/8
009.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/9
010.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/10
011.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/11
012.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/12
013.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/13
014.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/14
015.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/15
016.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00016.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/16
017.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00017.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/17
018.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00018.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/18
019.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00019.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/19
020.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249777/v4/AJNM/AJNM-00264/AJNM-00264-00020.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249777/canvas/20
