filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257827/canvas/f21
