filename,status,image
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00001.tif/full/full/0/default.jpg
002.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00002.tif/full/full/0/default.jpg
003.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00003.tif/full/full/0/default.jpg
004.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00004.tif/full/full/0/default.jpg
005.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00005.tif/full/full/0/default.jpg
006.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00006.tif/full/full/0/default.jpg
007.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00007.tif/full/full/0/default.jpg
008.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00008.tif/full/full/0/default.jpg
009.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00009.tif/full/full/0/default.jpg
010.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00010.tif/full/full/0/default.jpg
011.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00011.tif/full/full/0/default.jpg
012.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00012.tif/full/full/0/default.jpg
013.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00013.tif/full/full/0/default.jpg
014.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00014.tif/full/full/0/default.jpg
015.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00015.tif/full/full/0/default.jpg
016.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00016.tif/full/full/0/default.jpg
017.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00017.tif/full/full/0/default.jpg
018.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00018.tif/full/full/0/default.jpg
019.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00019.tif/full/full/0/default.jpg
020.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00020.tif/full/full/0/default.jpg
021.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00021.tif/full/full/0/default.jpg
022.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00022.tif/full/full/0/default.jpg
023.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00023.tif/full/full/0/default.jpg
024.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00024.tif/full/full/0/default.jpg
025.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00025.tif/full/full/0/default.jpg
026.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00026.tif/full/full/0/default.jpg
027.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00027.tif/full/full/0/default.jpg
028.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00028.tif/full/full/0/default.jpg
029.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00029.tif/full/full/0/default.jpg
030.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00030.tif/full/full/0/default.jpg
031.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00031.tif/full/full/0/default.jpg
032.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00032.tif/full/full/0/default.jpg
033.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00033.tif/full/full/0/default.jpg
034.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00034.tif/full/full/0/default.jpg
035.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249772/v4/AJNM/AJNM-00257/AJNM-00257-00035.tif/full/full/0/default.jpg
