filename	status	image
001.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00001_0.ptif/full/full/0/default.jpg
002.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00002_0.ptif/full/full/0/default.jpg
003.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00003_0.ptif/full/full/0/default.jpg
004.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00004_0.ptif/full/full/0/default.jpg
005.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00005_0.ptif/full/full/0/default.jpg
006.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00006_0.ptif/full/full/0/default.jpg
007.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00007_0.ptif/full/full/0/default.jpg
008.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00008_0.ptif/full/full/0/default.jpg
009.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00009_0.ptif/full/full/0/default.jpg
010.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00010_0.ptif/full/full/0/default.jpg
011.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00011_0.ptif/full/full/0/default.jpg
012.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00012_0.ptif/full/full/0/default.jpg
013.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00013_0.ptif/full/full/0/default.jpg
014.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00014_0.ptif/full/full/0/default.jpg
015.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00015_0.ptif/full/full/0/default.jpg
016.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00016_0.ptif/full/full/0/default.jpg
017.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00017_0.ptif/full/full/0/default.jpg
018.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00018_0.ptif/full/full/0/default.jpg
019.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00019_0.ptif/full/full/0/default.jpg
020.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00020_0.ptif/full/full/0/default.jpg
021.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00021_0.ptif/full/full/0/default.jpg
022.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00022_0.ptif/full/full/0/default.jpg
023.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00023_0.ptif/full/full/0/default.jpg
024.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00024_0.ptif/full/full/0/default.jpg
025.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00025_0.ptif/full/full/0/default.jpg
026.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00026_0.ptif/full/full/0/default.jpg
027.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00027_0.ptif/full/full/0/default.jpg
028.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00028_0.ptif/full/full/0/default.jpg
029.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00029_0.ptif/full/full/0/default.jpg
030.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00030_0.ptif/full/full/0/default.jpg
031.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00031_0.ptif/full/full/0/default.jpg
032.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00032_0.ptif/full/full/0/default.jpg
033.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00033_0.ptif/full/full/0/default.jpg
034.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00034_0.ptif/full/full/0/default.jpg
035.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00035_0.ptif/full/full/0/default.jpg
036.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00036_0.ptif/full/full/0/default.jpg
037.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00037_0.ptif/full/full/0/default.jpg
038.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00038_0.ptif/full/full/0/default.jpg
039.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00039_0.ptif/full/full/0/default.jpg
040.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00040_0.ptif/full/full/0/default.jpg
041.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00041_0.ptif/full/full/0/default.jpg
042.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00042_0.ptif/full/full/0/default.jpg
043.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00043_0.ptif/full/full/0/default.jpg
044.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00044_0.ptif/full/full/0/default.jpg
045.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00045_0.ptif/full/full/0/default.jpg
046.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00046_0.ptif/full/full/0/default.jpg
047.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00047_0.ptif/full/full/0/default.jpg
048.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00048_0.ptif/full/full/0/default.jpg
049.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00049_0.ptif/full/full/0/default.jpg
050.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00050_0.ptif/full/full/0/default.jpg
051.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00051_0.ptif/full/full/0/default.jpg
052.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00052_0.ptif/full/full/0/default.jpg
053.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00053_0.ptif/full/full/0/default.jpg
054.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00054_0.ptif/full/full/0/default.jpg
055.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00055_0.ptif/full/full/0/default.jpg
056.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00056_0.ptif/full/full/0/default.jpg
057.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00003317/RB00003317_00057_0.ptif/full/full/0/default.jpg
