filename	status	image
001.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-001.tif/full/full/0/default.jpg
002.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-002.tif/full/full/0/default.jpg
003.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-003.tif/full/full/0/default.jpg
004.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-004.tif/full/full/0/default.jpg
005.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-005.tif/full/full/0/default.jpg
006.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-006.tif/full/full/0/default.jpg
007.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-007.tif/full/full/0/default.jpg
008.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-008.tif/full/full/0/default.jpg
009.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-009.tif/full/full/0/default.jpg
010.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-010.tif/full/full/0/default.jpg
011.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-011.tif/full/full/0/default.jpg
012.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-012.tif/full/full/0/default.jpg
013.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-013.tif/full/full/0/default.jpg
014.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-014.tif/full/full/0/default.jpg
015.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-015.tif/full/full/0/default.jpg
016.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-016.tif/full/full/0/default.jpg
017.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-017.tif/full/full/0/default.jpg
018.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-018.tif/full/full/0/default.jpg
019.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-019.tif/full/full/0/default.jpg
020.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-020.tif/full/full/0/default.jpg
021.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-021.tif/full/full/0/default.jpg
022.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-022.tif/full/full/0/default.jpg
023.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-023.tif/full/full/0/default.jpg
024.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-024.tif/full/full/0/default.jpg
025.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-025.tif/full/full/0/default.jpg
026.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-026.tif/full/full/0/default.jpg
027.txt	completed	https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-091-027.tif/full/full/0/default.jpg
