filename	status	image	canvasId
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/1
002.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/2
003.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/3
004.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/4
005.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/5
006.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/6
007.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/7
008.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/8
009.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/9
010.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/10
011.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/11
012.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/12
013.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/13
014.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/14
015.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249859/v4/AJNM/AJNM-00325/AJNM-00325-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249859/canvas/15
