filename,status,image
001.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f1/full/full/0/default.jpg
002.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f2/full/full/0/default.jpg
003.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f3/full/full/0/default.jpg
004.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f4/full/full/0/default.jpg
005.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f5/full/full/0/default.jpg
006.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f6/full/full/0/default.jpg
007.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f7/full/full/0/default.jpg
008.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f8/full/full/0/default.jpg
009.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f9/full/full/0/default.jpg
010.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f10/full/full/0/default.jpg
011.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f11/full/full/0/default.jpg
012.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f12/full/full/0/default.jpg
013.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f13/full/full/0/default.jpg
014.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f14/full/full/0/default.jpg
015.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f15/full/full/0/default.jpg
016.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f16/full/full/0/default.jpg
017.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f17/full/full/0/default.jpg
018.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f18/full/full/0/default.jpg
019.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f19/full/full/0/default.jpg
020.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f20/full/full/0/default.jpg
021.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f21/full/full/0/default.jpg
022.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f22/full/full/0/default.jpg
023.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525009730/f23/full/full/0/default.jpg
